name,type,region,locality,geolocation
Monument to Mikhail Bulgakov,"Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
Monument to Michael Panikahi,"Monuments, sculptures, memorials",Volgograd region,,Not found
Monument to Mikhail Speransky,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
Monument to Mikhail Ulyanov at Tara,"Monuments, sculptures, memorials",Omsk region,Container,Not found
Monument to Michael Shumilova,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Monument to Mikhail Lermontov,"Monuments, sculptures, memorials",Krasnodar region,Gelendzhik,Not found
Monument to Michael Jankowski,"Monuments, sculptures, memorials",Primorsky Krai,Bezverhovo,"(Decimal('131.491879'), Decimal('42.963772'))"
Monument to Mikhail Yaroslavich Tverskoy,"Monuments, sculptures, memorials",Tver region,Tver,Not found
Pamyatnik him-his,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
monument Muse,"Monuments, sculptures, memorials",Tomsk region,Tomsk,"(Decimal('84.947649'), Decimal('56.48464'))"
Sightseeing Sasuke Вахитову,"Monuments, sculptures, memorials",Republic of Tatarstan,Kazan,"(Decimal('49.108795'), Decimal('55.796289'))"
Monument of Muraviev-Amur,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Monument N. Argentovskoy,"Monuments, sculptures, memorials",Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
The monument to Nikolai Gogol,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Monument to NV Gogol Boulevard Hoholevskom,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.617635'), Decimal('55.755814'))"
Monument NPOgareva,"Monuments, sculptures, memorials",The Republic of Mordovia,Saransk,"(Decimal('45.183938'), Decimal('54.187433'))"
Monument NF Katanov,"Monuments, sculptures, memorials",The Republic of Khakassia,Abakan,"(Decimal('89.711307'), Decimal('54.638632'))"
NA monument Bugrov,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
NV monument Krylenko,"Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.301522'), Decimal('53.864071'))"
NN monument Demidov in Chirkovitsah,"Monuments, sculptures, memorials",Leningrad region,,"(Decimal('29.706298'), Decimal('61.162446'))"
NN monument Zhukov in Yelets,"Monuments, sculptures, memorials",Lipetsk region,Dace,Not found
NN monument Muravyov-Amur,"Monuments, sculptures, memorials",Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Monument NE Bauman,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
Neptune monument,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Monument Nikita Demidov,"Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Monument Nikitkov-Flyers,"Monuments, sculptures, memorials",Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
Monument to Nicholas I,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
The monument to Nikolai Nekrasov,"Monuments, sculptures, memorials",Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.87662'), Decimal('57.658939'))"
The monument to Nikolai Muraviev-Amur,"Monuments, sculptures, memorials",Transbaikal region,Chita,"(Decimal('117.858184'), Decimal('50.050363'))"
The monument to Nikolai Rubtsov,"Monuments, sculptures, memorials",Vologda Region,Vologda,"(Decimal('39.891523'), Decimal('59.220496'))"
The monument to Nikolai Rubtsov,"Monuments, sculptures, memorials",Vologda Region,Totma,"(Decimal('42.758873'), Decimal('59.973487'))"
The monument to Nikolai Rudnev,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
The monument to Nikolai Tarski,"Monuments, sculptures, memorials",The Republic of Sakha (Yakutia),Yakutsk,"(Decimal('129.664885'), Decimal('62.031436'))"
Monument to Saint Nicholas,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Monument to Saint Nicholas,"Monuments, sculptures, memorials",Republic of Adygea,Maikop,"(Decimal('40.098548'), Decimal('44.608865'))"
Monument OI Gorodovikova,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
Monument OE Mandelstam,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument to Oleg of Ryazan,"Monuments, sculptures, memorials",Ryazan Oblast,Ryazan,"(Decimal('39.736375'), Decimal('54.629216'))"
Monument Olga Bergholz,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.417423'), Decimal('59.892252'))"
Monument to Osip Mandelstam,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Monument to Osip Mandelstam,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument to Ostap Bender,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument PI Tchaikovsky,"Monuments, sculptures, memorials",Perm,Tchaikovsky,"(Decimal('54.147759'), Decimal('56.778061'))"
Monument Pavel Tretyakov,"Monuments, sculptures, memorials",Moscow,,Not found
PA monument Solovyov,"Monuments, sculptures, memorials",Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Monument PI Tchaikovsky,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.4114'), Decimal('55.844394'))"
monument P.I.Batovu,"Monuments, sculptures, memorials",Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Monument PN Nesterov,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument Pavel Petrovich Kalitin,"Monuments, sculptures, memorials",Novgorod region,Hill,Not found
Monument Paris Commune (fighters of the revolution),"Monuments, sculptures, memorials",Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
Monument to Patriarch Alexy II,"Monuments, sculptures, memorials",Mari El Republic,Yoshkar-Ola,Not found
monument Pioneers,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
Monument to Peter I,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to Peter I,"Monuments, sculptures, memorials",Leningrad region,,"(Decimal('29.706298'), Decimal('61.162446'))"
Monument to Peter I,"Monuments, sculptures, memorials",Leningrad region,Vyborg,"(Decimal('28.749404'), Decimal('60.710232'))"
Monument to Peter I,"Monuments, sculptures, memorials",Leningrad region,Shlisselburg,"(Decimal('31.026597'), Decimal('59.934943'))"
Monument to Peter I,"Monuments, sculptures, memorials",Leningrad region,Priozersk,"(Decimal('30.119838'), Decimal('61.036554'))"
Monument to Peter I,"Monuments, sculptures, memorials",Kaliningrad region,Kaliningrad,"(Decimal('20.512733'), Decimal('54.710454'))"
Monument to Peter I,"Monuments, sculptures, memorials",Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
Monument to Peter I,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument to Peter I,"Monuments, sculptures, memorials",Altai region,Biisk,"(Decimal('85.21382'), Decimal('52.539297'))"
Monument to Peter I,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
Monument to Peter I,"Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
Monument to Peter I,"Monuments, sculptures, memorials",Rostov region,Taganrog,"(Decimal('38.914713'), Decimal('47.22064'))"
Monument to Peter I,"Monuments, sculptures, memorials",Astrakhan region,Astrakhan,"(Decimal('48.033574'), Decimal('46.347869'))"
Monument to Peter I,"Monuments, sculptures, memorials",Volgograd region,Alekseevskaya,"(Decimal('42.185847'), Decimal('50.294295'))"
Monument to Peter I the Great,"Monuments, sculptures, memorials",Kaliningrad region,Baltiysk,Not found
Monument to Peter I and Nikita Demidov,"Monuments, sculptures, memorials",Sverdlovsk region,Nevyansk,Not found
Pamyatnik Petru Movie,military glory,Republic of North Ossetia - Alania,Hyzel,"(Decimal('44.569859'), Decimal('43.042212'))"
Monument to Peter the Great,"Monuments, sculptures, memorials",Smolensk region,Gagarin,"(Decimal('34.996845'), Decimal('55.553299'))"
Monument to Peter Simon Pallas,"Monuments, sculptures, memorials",Volgograd region,Pallasovka,Not found
Monument to Peter and Fevronia,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,Not found
Monument to Peter and Fevronia,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.721706'), Decimal('58.605133'))"
Monument to Peter and Fevronia,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to Peter and Fevronia,"Monuments, sculptures, memorials",Novosibirsk region,Novosibirsk,Not found
Monument to Peter and Fevronia,"Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,Not found
Monument to Peter and Fevronia,"Monuments, sculptures, memorials",Kursk region,Kursk,Not found
Monument to Peter and Fevronia Murom,"Monuments, sculptures, memorials",Irkutsk region,Irkutsk,Not found
Monument to Peter and Fevronia Murom,"Monuments, sculptures, memorials",Krasnodar region,Krasnodar,Not found
Monument to Peter and Fevronia Murom,"Monuments, sculptures, memorials",Rostov region,Rostov-on-Don,Not found
Monument to Peter and Fevronia in Biisk,"Monuments, sculptures, memorials",Altai region,Biisk,"(Decimal('85.21382'), Decimal('52.539297'))"
Monument to the Conquerors of the North,"Monuments, sculptures, memorials",Yamalo-Nenets Autonomous Okrug,Nadym,"(Decimal('72.531341'), Decimal('65.535924'))"
The monument to Pushkin,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument Potru I and Franz Lefort,"Monuments, sculptures, memorials",Moscow,,Not found
Monument Rasul Gamzatov,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument Rembrandt van Rijn,"Monuments, sculptures, memorials",Mari El Republic,Yoshkar-Ola,Not found
Rita monument on the Mamayev Hill,"Monuments, sculptures, memorials",Volgograd region,Volgograd,Not found
Monument Richard Sorge,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
Monument Rostislav Alexeyev,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to Russian teacher,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument Rachmaninov,"Monuments, sculptures, memorials",Novgorod region,Novgorod,"(Decimal('31.269915'), Decimal('58.52281'))"
Monument Kirov,"Monuments, sculptures, memorials",Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
Monument Kirov,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
SV monument Rachmaninoff,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.832692'), Decimal('52.435401'))"
monument S.G.Chavaynu,"Monuments, sculptures, memorials",Mari El Republic,Yoshkar-Ola,"(Decimal('47.886178'), Decimal('56.631595'))"
SI monument Mosin,"Monuments, sculptures, memorials",Tula region,Tula,"(Decimal('37.617348'), Decimal('54.193122'))"
SM monument Kirov,"Monuments, sculptures, memorials",Murmansk region,Murmansk,"(Decimal('33.074981'), Decimal('68.970682'))"
SM monument Kirov at the October Prospect,"Monuments, sculptures, memorials",Kirov region,Kirov,Not found
SM monument Kirov Square on Lepse,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.629988'), Decimal('58.616144'))"
SN monument Sergeyev-Tsensky,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.832692'), Decimal('52.435401'))"
Monument Salchak Toka,"Monuments, sculptures, memorials",Tyva Republic,red,"(Decimal('94.287756'), Decimal('51.659803'))"
Monument Samuel Marshak,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.216502'), Decimal('51.730986'))"
monument to Sakharov,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Monument Sasha Filippov,"Monuments, sculptures, memorials",Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
"Monument to St. Nicholas the Wonderworker, Archbishop of Myra","Monuments, sculptures, memorials",Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.643566'), Decimal('53.024075'))"
Monument to St. Nicholas the Wonderworker,"Monuments, sculptures, memorials",Omsk region,Açair,Not found
Monument St. Catherine,"Monuments, sculptures, memorials",Krasnodar region,Krasnodar,"(Decimal('38.968396'), Decimal('45.015416'))"
Monument St. Peter and Fevronia,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.832692'), Decimal('52.435401'))"
Monument of Sacred Peter and Fevronia,"Monuments, sculptures, memorials",Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
Monument Sene Raspberries,"Monuments, sculptures, memorials",Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
Monument to Sergei Korolev and Yuri Gagarin,"Monuments, sculptures, memorials",Rostov region,Taganrog,"(Decimal('38.914713'), Decimal('47.22064'))"
Monument to Sergius of Radonezh,"Monuments, sculptures, memorials",Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.765543'), Decimal('56.235496'))"
Monument to Sergius of Radonezh,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
Monument Serebdzhabu Tyumen,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
Monument Siberian Coin,"Monuments, sculptures, memorials",Novosibirsk region,Suzuki,"(Decimal('82.362216'), Decimal('53.825637'))"
Monument bumpkin in Pskov,"Monuments, sculptures, memorials",Pskov region,Pskov,"(Decimal('28.431562'), Decimal('57.796334'))"
monument of Glory,"Monuments, sculptures, memorials",Voronezh region,Voronezh,"(Decimal('39.185384'), Decimal('51.694144'))"
The monument of the Slavic alphabet,"Monuments, sculptures, memorials",Voronezh region,Rossosh,"(Decimal('39.57652'), Decimal('50.192899'))"
monument to Solzhenitsyn,"Monuments, sculptures, memorials",Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Monument Sophia shelf,"Monuments, sculptures, memorials",Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Monument to Stepan Khalturin,"Monuments, sculptures, memorials",Kirov region,Kirov,"(Decimal('49.721706'), Decimal('58.605133'))"
monument student,"Monuments, sculptures, memorials",The Republic of Buryatia,,"(Decimal('112.348699'), Decimal('54.544222'))"
Monument Suleiman Stalskiy,"Monuments, sculptures, memorials",The Republic of Dagestan,Makhachkala,"(Decimal('47.504682'), Decimal('42.98306'))"
Monument Tamara Hahlynovoy,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.279137'), Decimal('46.298528'))"
Monument Tambov peasant,"Monuments, sculptures, memorials",Tambov Region,Tambov,"(Decimal('41.832692'), Decimal('52.435401'))"
Monument Tatarkanu Kokoity,"Monuments, sculptures, memorials",Republic of North Ossetia - Alania,Vladikavkaz,"(Decimal('44.68196'), Decimal('43.02115'))"
Timiryazev monument on Tverskoy Boulevard,"Monuments, sculptures, memorials",Moscow,,Not found
Monument Torkel Knutsson,"Monuments, sculptures, memorials",Leningrad region,Vyborg,"(Decimal('28.749404'), Decimal('60.710232'))"
Totleben monument,military glory,Sevastopol,,"(Decimal('33.489912'), Decimal('44.499691'))"
monument Trezzini,"Monuments, sculptures, memorials",St. Petersburg,St. Petersburg,"(Decimal('30.288101'), Decimal('59.936562'))"
Monument Trokayu Borisov,"Monuments, sculptures, memorials",Udmurt republic,Izhevsk,"(Decimal('53.206891'), Decimal('56.852676'))"
Monument of the Millennium of Russia,"Monuments, sculptures, memorials",Novgorod region,Novgorod,"(Decimal('31.269915'), Decimal('58.52281'))"
Monument UBUS Han,"Monuments, sculptures, memorials",Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
Monument Ural Volunteer Tank Complex,military glory,Perm,Permian,Not found
Monument to the Urals Volunteer Tank Corps,"Monuments, sculptures, memorials",Sverdlovsk region,Ekaterinburg,Not found
Monument to Fyodor Dostoyevsky,"Monuments, sculptures, memorials",Omsk region,Omsk,"(Decimal('73.368212'), Decimal('54.989342'))"
Monument FH Grail,"Monuments, sculptures, memorials",Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Monument F. Dzerzhinsky,"Monuments, sculptures, memorials",Sverdlovsk region,Nizhny Tagil,Not found
Monument F. Dzerzhinsky,"Monuments, sculptures, memorials",Moscow,,"(Decimal('37.659569'), Decimal('55.767261'))"
